HORA	TEMPERATURA INT.	TEMPERATURA EXT.	CO2	HUMEDAD INT.	VEL. VIENTO	LUMINOSIDAD EXT.	LLUVIA
00:00	20.3	11.8	470.72	66	0	1.00	0
00:05	20.3	11.8	469.76	66	0	1.00	0
00:10	20.3	12.8	459.84	66	0	1.00	0
00:15	20.3	12.8	472.96	66	0	1.00	0
00:21	20.3	12.8	468.80	66	0	1.00	0
00:26	20.3	12.8	472.96	66	0	1.00	0
00:31	20.2	12.8	467.84	66	0	1.00	0
00:36	20.2	12.8	466.88	66	0	1.00	0
00:41	20.3	12.8	467.84	66	0	1.00	0
00:46	20.2	13.8	459.84	66	0	1.00	0
00:51	20.3	13.8	462.72	66	0	1.00	0
00:56	20.3	13.8	459.84	66	0	1.00	0
01:01	20.3	13.8	459.84	66	0	1.00	0
01:06	20.3	13.8	464.00	66	0	1.00	0
01:11	20.3	13.8	460.80	66	0	1.00	0
01:16	20.2	13.8	457.92	66	0	1.00	0
01:21	20.2	13.8	458.88	66	0	1.00	0
01:26	20.2	13.8	464.96	66	0	1.00	0
01:31	20.2	13.8	466.88	66	0	1.00	0
01:36	20.2	13.8	470.72	66	0	1.00	0
01:41	20.2	13.8	473.92	66	0	1.00	0
01:46	20.2	13.8	470.72	66	0	1.00	0
01:51	20.2	13.8	466.88	66	0	1.00	0
01:56	20.2	13.8	457.92	66	0	1.00	0
02:01	20.2	13.8	475.84	66	0	1.00	0
02:06	20.2	13.8	468.80	66	0	1.00	0
02:11	20.2	13.8	465.92	66	0	1.00	0
02:16	20.2	13.8	472.00	66	0	1.00	0
02:21	20.2	13.8	468.80	66	0	1.00	0
02:26	20.2	13.8	460.80	66	0	1.00	0
02:31	20.2	13.8	473.92	66	0	1.00	0
02:36	20.2	13.8	459.84	66	0	1.00	0
02:41	20.2	13.8	464.96	66	0	1.00	0
02:46	20.2	12.8	466.88	66	0	1.00	0
02:51	20.2	12.8	473.92	66	0	1.00	0
02:56	20.2	12.8	458.88	66	0	1.00	0
03:01	20.2	12.8	465.92	66	0	1.00	0
03:06	20.2	12.8	461.76	66	0	1.00	0
03:11	20.2	12.8	472.96	66	0	1.00	0
03:16	20.2	12.8	465.92	66	0	1.00	0
03:21	20.2	12.8	462.72	66	0	1.00	0
03:26	20.2	12.8	453.76	66	0	1.00	0
03:31	20.2	12.8	459.84	66	0	1.00	0
03:36	20.2	12.8	464.00	66	0	1.00	0
03:41	20.2	12.8	462.72	66	0	1.00	0
03:46	20.1	12.8	468.80	66	0	1.00	0
03:51	20.1	12.8	465.92	66	0	1.00	0
03:56	20.2	11.8	459.84	66	0	1.00	0
04:01	20.2	11.8	459.84	66	0	1.00	0
04:06	20.2	11.8	461.76	66	0	1.00	0
04:11	20.2	11.8	465.92	66	0	1.00	0
04:16	20.2	11.8	460.80	66	0	1.00	0
04:21	20.2	11.8	468.80	66	0	1.00	0
04:26	20.2	11.8	462.72	66	0	1.00	0
04:31	20.1	11.8	468.80	66	0	1.00	0
04:36	20.1	11.8	467.84	66	0	1.00	0
04:41	20.1	11.8	470.72	66	0	1.00	0
04:46	20.1	11.8	464.96	66	0	1.00	0
04:51	20.1	11.8	459.84	66	0	1.00	0
04:56	20.2	11.8	466.88	66	0	1.00	0
05:01	20.2	11.8	460.80	66	0	1.00	0
05:06	20.2	11.8	460.80	66	0	1.00	0
05:11	20.1	11.8	466.88	66	0	1.00	0
05:16	20.1	11.8	459.84	66	0	1.00	0
05:21	20.1	11.8	451.84	66	0	1.00	0
05:26	20.1	11.8	469.76	66	0	1.00	0
05:31	20.1	11.8	467.84	66	0	1.00	0
05:36	20.1	11.8	469.76	66	0	1.00	0
05:41	20.1	11.8	464.96	66	0	1.00	0
05:46	20.1	11.8	465.92	66	0	1.00	0
05:51	20.1	11.8	458.88	66	0	1.00	0
05:56	20.1	11.8	465.92	66	0	1.00	0
06:01	20.1	11.8	468.80	66	0	1.00	0
06:06	20.1	11.8	459.84	66	0	1.00	0
06:11	20.0	11.8	454.72	66	0	1.00	0
06:16	20.1	11.8	458.88	66	0	1.00	0
06:21	20.1	11.8	464.96	66	0	1.00	0
06:26	20.1	11.8	462.72	66	0	1.00	0
06:31	20.1	11.8	468.80	66	0	1.00	0
06:36	20.1	10.8	462.72	66	0	1.00	0
06:41	20.1	10.8	457.92	66	0	1.00	0
06:46	20.1	10.8	459.84	66	0	1.00	0
06:51	20.0	10.8	468.80	66	0	1.00	0
06:56	20.0	10.8	461.76	66	0	1.00	0
07:01	20.0	10.8	462.72	66	0	1.00	0
07:06	20.0	10.8	457.92	66	0	1.00	0
07:11	20.1	10.8	467.84	66	0	1.00	0
07:16	20.1	10.8	468.80	66	0	1.00	0
07:21	20.1	10.8	464.00	66	0	1.00	0
07:26	20.1	10.8	462.72	66	0	1.00	0
07:31	20.1	10.8	456.96	66	0	1.00	0
07:36	20.0	10.8	456.00	66	0	1.00	0
07:41	19.9	10.8	462.72	66	0	2.00	0
07:46	20.0	10.8	472.00	66	0	4.00	0
07:51	20.0	10.8	461.76	66	0	11.00	0
07:56	20.1	10.8	458.88	66	0	26.00	0
08:01	20.1	10.8	457.92	66	0	77.00	0
08:06	20.1	10.8	462.72	66	0	172.00	0
08:11	20.1	10.8	454.72	66	0	292.00	0
08:16	20.0	10.8	456.96	66	0	493.76	0
08:21	20.0	10.8	460.80	66	0	834.56	0
08:26	19.9	10.8	465.92	66	0	1084.80	0
08:31	19.9	10.8	460.80	66	0	1411.84	0
08:36	19.9	11.8	448.96	66	0	1835.52	0
08:41	20.0	11.8	450.88	66	0	2387.20	0
08:46	20.0	11.8	453.76	66	0	3105.28	0
08:51	20.0	11.8	461.76	66	0	3105.28	0
08:56	20.0	12.8	468.80	66	0	4034.56	0
09:01	20.0	12.8	456.96	66	0	4034.56	0
09:06	19.9	12.8	460.80	66	0	26152.96	0
09:11	19.9	12.8	456.96	66	0	26152.96	0
09:16	19.9	13.8	454.72	66	0	34037.76	0
09:21	19.9	13.8	456.00	66	0	34037.76	0
09:26	20.0	13.8	460.80	66	0	44277.76	0
09:31	19.9	13.8	461.76	66	0	44277.76	0
09:36	20.0	14.8	458.88	66	0	44277.76	0
09:41	20.0	14.8	451.84	66	0	44277.76	0
09:46	20.0	14.8	456.96	66	0	44277.76	0
09:51	20.0	14.8	460.80	66	0	57630.72	0
09:56	20.0	15.8	454.72	66	0	57630.72	0
10:01	20.0	15.8	450.88	66	0	57630.72	0
10:06	20.0	15.8	445.76	66	0	57630.72	0
10:11	20.0	15.8	451.84	66	0	57630.72	0
10:16	20.1	15.8	458.88	66	0	57630.72	0
10:21	20.0	16.8	456.96	66	0	57630.72	0
10:26	20.1	16.8	459.84	66	0	57630.72	0
10:31	20.1	16.8	452.80	66	0	74956.80	0
10:36	20.1	17.8	462.72	66	0	74956.80	0
10:41	20.1	17.8	459.84	66	0	74956.80	0
10:46	20.1	17.8	464.00	66	0	74956.80	0
10:51	20.1	18.8	459.84	66	0	74956.80	0
10:56	20.1	18.8	464.96	66	0	74956.80	0
11:01	20.1	18.8	464.00	66	0	74956.80	0
11:06	20.1	19.8	461.76	66	0	74956.80	0
11:11	20.1	19.8	456.00	66	0	74956.80	0
11:16	20.1	19.8	451.84	66	0	74956.80	0
11:21	20.2	20.8	449.92	66	0	97484.80	0
11:26	20.2	20.8	457.92	66	0	97484.80	0
11:31	20.1	20.8	459.84	66	0	97484.80	0
11:36	20.1	20.8	453.76	66	0	67747.84	0
11:41	20.1	20.8	458.88	66	0	67747.84	0
11:46	20.1	20.8	453.76	66	0	67747.84	0
11:51	20.2	20.8	464.00	66	0	88227.84	0
11:56	20.2	20.8	456.00	66	0	88227.84	0
12:01	20.2	21.8	459.84	66	0	88227.84	0
12:06	20.2	20.8	459.84	64	0	88227.84	0
12:11	20.2	20.8	456.00	64	0	88227.84	0
12:16	20.2	21.8	449.92	66	0	88227.84	0
12:21	20.2	22.8	451.84	66	0	88227.84	0
12:26	20.2	22.8	453.76	66	0	88227.84	0
12:31	20.2	22.8	449.92	66	0	88227.84	0
12:36	20.2	22.8	464.00	66	0	88227.84	0
12:41	20.2	21.8	456.00	64	0	88227.84	0
12:46	20.3	22.8	454.72	64	0	88227.84	0
12:51	20.2	22.8	454.72	64	0	88227.84	0
12:56	20.3	22.8	456.00	64	0	88227.84	0
13:01	20.2	22.8	453.76	64	0	88227.84	0
13:06	20.2	22.8	450.88	64	0	88227.84	0
13:11	20.2	22.8	451.84	64	0	88227.84	0
13:16	20.2	22.8	456.00	64	0	88227.84	0
13:21	20.3	22.8	464.00	64	0	88227.84	0
13:26	20.3	22.8	456.96	64	0	88227.84	0
13:31	20.3	22.8	454.72	64	0	88227.84	0
13:36	20.3	22.8	467.84	64	0	88227.84	0
13:41	20.4	22.8	457.92	64	0	88227.84	0
13:46	20.3	23.8	456.00	64	0	88227.84	0
13:51	20.3	22.8	454.72	64	0	88227.84	0
13:56	20.3	21.8	452.80	64	1	88227.84	0
14:01	20.3	20.8	459.84	64	0	88227.84	0
14:06	20.4	22.8	452.80	64	0	88227.84	0
14:11	20.4	22.8	453.76	64	0	88227.84	0
