HORA	TEMPERATURA INT.	TEMPERATURA EXT.	CO2	HUMEDAD INT.	VEL. VIENTO	LUMINOSIDAD EXT.	LLUVIA
00:02	20.9	17.8	451.84	66	3	1.00	0
00:07	20.9	17.8	446.72	66	4	1.00	0
00:12	20.9	17.8	450.88	66	7	1.00	0
00:17	20.9	17.8	454.72	66	4	1.00	0
00:22	20.9	17.8	458.88	66	5	1.00	0
00:27	20.9	17.8	460.80	66	4	1.00	0
00:32	20.9	17.8	457.92	66	3	1.00	0
00:37	20.9	17.8	449.92	66	4	1.00	0
00:42	20.9	17.8	449.92	66	9	1.00	0
00:47	20.9	17.8	454.72	66	2	1.00	0
00:52	20.9	17.8	444.80	66	6	1.00	0
00:57	20.9	17.8	441.92	66	5	1.00	0
01:02	20.9	17.8	451.84	66	5	1.00	0
01:07	20.9	17.8	452.80	66	3	1.00	0
01:12	20.9	17.8	453.76	66	8	1.00	0
01:17	20.9	17.8	458.88	67	5	1.00	0
01:22	20.9	17.8	450.88	67	5	1.00	0
01:27	20.9	17.8	454.72	66	7	1.00	0
01:32	20.9	17.8	453.76	67	4	1.00	0
01:37	20.9	17.8	453.76	67	5	1.00	0
01:42	20.9	17.8	452.80	67	2	1.00	0
01:47	20.9	17.8	456.96	66	2	1.00	0
01:52	20.9	17.8	444.80	67	5	1.00	0
01:57	20.9	17.8	448.96	67	3	1.00	0
02:02	20.9	17.8	445.76	67	7	1.00	0
02:07	20.8	17.8	446.72	67	5	1.00	0
02:12	20.9	17.8	454.72	67	5	1.00	0
02:17	20.9	17.8	453.76	67	2	1.00	0
02:22	20.9	17.8	448.96	67	5	1.00	0
02:27	20.9	18.8	450.88	67	11	1.00	0
02:32	20.9	18.8	443.84	67	8	1.00	0
02:37	20.9	18.8	445.76	67	10	1.00	0
02:42	20.9	18.8	445.76	67	9	1.00	0
02:47	20.9	18.8	449.92	67	12	1.00	0
02:52	20.9	18.8	450.88	67	5	1.00	0
