HORA	TEMPERATURA INT.	TEMPERATURA EXT.	CO2	HUMEDAD INT.	VEL. VIENTO	LUMINOSIDAD EXT.	LLUVIA
00:00	20.5	15.8	461.76	58	0	1.00	0
00:05	20.5	15.8	443.84	58	0	1.00	0
00:10	20.5	15.8	454.72	58	0	1.00	0
00:15	20.6	15.8	444.80	58	0	1.00	0
00:20	20.6	15.8	448.00	58	0	1.00	0
00:25	20.5	15.8	446.72	58	0	1.00	0
00:30	20.5	14.8	454.72	58	0	1.00	0
00:35	20.4	14.8	450.88	58	0	1.00	0
00:40	20.4	14.8	453.76	58	0	1.00	0
00:45	20.4	14.8	451.84	58	0	1.00	0
00:50	20.5	14.8	450.88	58	1	1.00	0
00:55	20.5	14.8	442.88	58	1	1.00	0
01:00	20.5	14.8	450.88	58	0	1.00	0
01:05	20.5	14.8	456.00	58	0	1.00	0
01:10	20.5	14.8	444.80	58	0	1.00	0
01:15	20.4	14.8	452.80	58	0	1.00	0
01:20	20.4	14.8	461.76	58	0	1.00	0
01:25	20.4	14.8	456.00	58	0	1.00	0
01:30	20.4	14.8	454.72	58	0	1.00	0
01:35	20.4	14.8	453.76	58	0	1.00	0
01:40	20.4	14.8	451.84	58	0	1.00	0
01:45	20.4	14.8	451.84	58	0	1.00	0
01:50	20.4	14.8	452.80	58	0	1.00	0
01:55	20.5	14.8	451.84	57	0	1.00	0
02:00	20.4	14.8	446.72	57	0	1.00	0
02:05	20.4	14.8	450.88	57	0	1.00	0
02:10	20.4	14.8	445.76	58	0	1.00	0
02:15	20.4	14.8	445.76	58	0	1.00	0
02:20	20.4	14.8	446.72	58	0	1.00	0
02:25	20.4	13.8	448.96	57	0	1.00	0
02:30	20.4	13.8	454.72	58	0	1.00	0
02:35	20.4	13.8	462.72	57	0	1.00	0
02:40	20.4	13.8	456.96	58	0	1.00	0
02:45	20.4	13.8	450.88	57	0	1.00	0
02:50	20.4	14.8	454.72	57	0	1.00	0
02:55	20.4	14.8	445.76	58	0	1.00	0
03:00	20.4	14.8	448.96	57	0	1.00	0
03:05	20.4	14.8	441.92	58	0	1.00	0
03:10	20.4	14.8	442.88	57	0	1.00	0
03:15	20.4	14.8	445.76	57	0	1.00	0
03:20	20.4	14.8	448.00	58	0	1.00	0
03:25	20.4	14.8	445.76	58	0	1.00	0
03:30	20.4	14.8	456.00	58	0	1.00	0
03:35	20.4	14.8	459.84	57	0	1.00	0
