HORA	TEMPERATURA INT.	TEMPERATURA EXT.	CO2	HUMEDAD INT.	VEL. VIENTO	LUMINOSIDAD EXT.	LLUVIA
00:03	21.2	18.8	450.88	68	5	1.00	0
00:08	21.2	18.8	451.84	68	6	1.00	0
00:13	21.2	18.8	450.88	68	9	1.00	0
00:18	21.2	18.8	446.72	68	9	1.00	0
00:23	21.2	18.8	454.72	68	11	1.00	0
00:28	21.2	18.8	450.88	68	9	1.00	0
00:33	21.2	18.8	445.76	68	5	1.00	0
00:38	21.2	18.8	449.92	68	9	1.00	0
00:43	21.2	18.8	453.76	68	7	1.00	0
00:48	21.2	18.8	446.72	68	10	1.00	0
00:53	21.2	18.8	446.72	68	6	1.00	0
00:58	21.2	18.8	452.80	68	5	1.00	0
01:03	21.2	18.8	450.88	68	5	1.00	0
01:08	21.2	18.8	443.84	68	4	1.00	0
01:13	21.2	18.8	442.88	68	5	1.00	0
01:18	21.1	18.8	448.00	69	5	1.00	0
01:23	21.2	18.8	448.00	68	7	1.00	0
01:28	21.2	18.8	451.84	69	5	1.00	0
01:33	21.2	18.8	448.96	68	5	1.00	0
01:38	21.2	18.8	449.92	68	5	1.00	0
01:43	21.2	18.8	441.92	68	7	1.00	0
01:48	21.2	17.8	448.96	68	8	1.00	0
01:53	21.2	17.8	440.00	68	6	1.00	0
01:58	21.2	17.8	445.76	68	9	1.00	0
02:03	21.2	17.8	452.80	68	6	1.00	0
02:08	21.2	17.8	451.84	69	4	1.00	0
02:13	21.2	17.8	440.00	69	8	1.00	0
02:18	21.2	17.8	440.00	69	9	1.00	0
02:23	21.2	17.8	446.72	69	5	1.00	0
02:28	21.2	17.8	442.88	69	4	1.00	0
02:33	21.2	17.8	448.00	69	6	1.00	0
02:38	21.2	17.8	448.00	69	5	1.00	0
02:43	21.2	17.8	448.00	68	8	1.00	0
02:48	21.2	17.8	448.00	69	2	1.00	0
02:53	21.2	17.8	443.84	69	6	1.00	0
02:58	21.1	17.8	441.92	69	11	1.00	0
03:03	21.2	17.8	443.84	69	3	1.00	0
03:08	21.2	17.8	450.88	69	4	1.00	0
03:13	21.2	17.8	440.00	69	5	1.00	0
03:18	21.2	17.8	440.00	69	4	1.00	0
03:23	21.2	17.8	440.00	69	0	1.00	0
03:28	21.2	17.8	438.72	69	0	1.00	0
03:33	21.2	17.8	438.72	69	4	1.00	0
03:38	21.2	18.8	440.96	69	8	1.00	0
03:43	21.2	18.8	441.92	69	1	1.00	0
03:48	21.1	18.8	444.80	69	3	1.00	0
03:53	21.2	18.8	445.76	69	5	1.00	0
03:58	21.2	18.8	448.96	69	6	1.00	0
04:03	21.2	18.8	438.72	69	6	1.00	0
04:08	21.2	18.8	446.72	69	5	1.00	0
04:13	21.2	18.8	448.96	69	4	1.00	0
04:18	21.2	18.8	452.80	69	5	1.00	0
04:23	21.2	18.8	448.96	69	4	1.00	0
04:28	21.2	18.8	451.84	69	8	1.00	0
04:33	21.1	18.8	452.80	69	4	1.00	0
04:38	21.1	18.8	442.88	69	6	1.00	0
04:43	21.2	18.8	444.80	69	6	1.00	0
04:48	21.2	18.8	451.84	69	5	1.00	0
04:53	21.2	18.8	458.88	69	4	1.00	0
04:58	21.2	18.8	444.80	69	2	1.00	0
05:03	21.2	18.8	443.84	69	7	1.00	0
05:08	21.2	17.8	453.76	69	9	1.00	0
05:13	21.2	17.8	456.00	69	3	1.00	0
05:18	21.2	17.8	458.88	69	6	1.00	0
05:23	21.1	17.8	443.84	69	3	1.00	0
05:28	21.1	17.8	443.84	69	5	1.00	0
05:33	21.1	17.8	440.00	69	8	1.00	0
05:38	21.2	17.8	448.00	69	7	1.00	0
05:43	21.2	17.8	445.76	69	5	1.00	0
05:48	21.2	17.8	442.88	69	7	1.00	0
05:53	21.2	17.8	441.92	68	4	1.00	0
05:58	21.2	17.8	445.76	69	2	1.00	0
06:03	21.2	17.8	441.92	69	4	1.00	0
06:08	21.2	17.8	448.96	69	6	1.00	0
06:13	21.1	17.8	450.88	69	3	1.00	0
06:18	21.1	17.8	448.96	69	3	1.00	0
06:23	21.1	17.8	444.80	69	7	1.00	0
06:28	21.2	17.8	440.00	69	8	1.00	0
06:33	21.2	17.8	451.84	69	7	1.00	0
06:38	21.2	17.8	440.96	68	5	1.00	0
06:43	21.2	17.8	446.72	68	5	1.00	0
06:48	21.2	17.8	444.80	68	7	1.00	0
06:53	21.2	17.8	443.84	68	5	1.00	0
06:58	21.1	17.8	440.96	69	4	1.00	0
07:03	21.1	17.8	444.80	69	6	1.00	0
07:08	21.1	17.8	450.88	69	3	1.00	0
07:13	21.1	17.8	442.88	69	4	1.00	0
07:18	21.1	17.8	440.00	69	4	1.00	0
07:23	21.1	17.8	452.80	69	6	1.00	0
07:28	21.1	17.8	459.84	68	7	1.00	0
07:33	21.1	17.8	440.96	68	4	1.00	0
07:38	21.1	17.8	452.80	68	7	1.00	0
07:43	21.1	17.8	435.84	68	3	2.00	0
07:48	21.1	17.8	444.80	68	5	3.00	0
07:53	21.1	17.8	440.00	69	4	6.00	0
07:58	21.1	17.8	440.96	69	4	8.00	0
08:03	21.1	17.8	443.84	68	7	20.00	0
08:08	21.2	17.8	446.72	69	3	26.00	0
08:13	21.2	17.8	441.92	68	9	34.00	0
08:18	21.2	17.8	435.84	68	5	45.00	0
08:23	21.2	17.8	442.88	68	3	45.00	0
08:28	21.1	17.8	445.76	68	2	132.00	0
08:33	21.1	17.8	445.76	68	1	224.00	0
08:38	21.1	17.8	448.00	69	4	292.00	0
08:43	21.1	17.8	443.84	69	5	184.96	0
08:48	21.1	17.8	450.88	69	5	184.96	0
08:53	21.1	17.8	453.76	68	2	313.92	0
08:58	21.2	17.8	448.00	68	6	285.92	0
09:03	21.2	17.8	444.80	68	3	833.92	0
09:08	21.2	17.8	442.88	68	5	833.92	0
09:13	21.2	17.8	445.76	68	3	760.96	0
09:18	21.1	17.8	443.84	68	4	989.44	0
09:23	21.1	17.8	448.00	68	4	1286.40	0
09:28	21.1	17.8	443.84	68	3	1672.96	0
09:33	21.1	17.8	454.72	68	3	2177.28	0
09:38	21.1	17.8	449.92	69	3	3686.40	0
09:43	21.2	17.8	450.88	69	2	4794.88	0
09:48	21.2	17.8	450.88	68	2	4794.88	0
09:53	21.2	17.8	445.76	68	2	4794.88	0
09:58	21.2	17.8	451.84	68	3	8115.20	0
10:03	21.2	17.8	449.92	68	3	21053.44	0
10:08	21.1	18.8	448.00	68	2	21053.44	0
10:13	21.1	18.8	437.76	68	3	47800.32	0
10:18	21.1	18.8	450.88	69	5	51773.44	0
10:23	21.1	19.8	453.76	69	2	80609.28	0
10:28	21.1	19.8	441.92	69	3	28794.88	0
10:33	21.2	18.8	454.72	68	3	13936.64	0
10:38	21.2	18.8	459.84	68	2	35614.72	0
10:43	21.2	18.8	452.80	69	5	69222.40	0
10:48	21.2	18.8	451.84	69	2	69222.40	0
10:53	21.2	18.8	460.80	69	7	81960.96	0
10:58	21.1	18.8	456.00	69	3	18452.48	0
11:03	21.1	18.8	452.80	69	6	18452.48	0
11:08	21.2	17.8	462.72	69	5	9006.08	0
11:13	21.2	17.8	448.96	69	3	6292.48	0
11:18	21.2	16.8	459.84	69	3	4395.52	0
11:23	21.2	16.8	454.72	69	4	3069.44	0
11:28	21.2	16.8	453.76	69	3	3069.44	0
11:33	21.2	16.8	453.76	69	2	3991.04	0
11:38	21.2	16.8	459.84	69	2	6753.28	0
11:43	21.2	16.8	464.00	69	8	8780.80	0
11:48	21.2	16.8	468.80	69	5	8780.80	0
11:53	21.1	16.8	457.92	69	4	8780.80	0
11:58	21.1	16.8	458.88	69	4	11520.00	0
12:03	21.2	16.8	457.92	69	5	15032.32	0
12:08	21.2	16.8	461.76	69	4	15032.32	0
12:13	21.2	16.8	462.72	69	4	10516.48	0
12:18	21.2	16.8	465.92	69	5	10516.48	0
12:23	21.2	16.8	462.72	69	4	7347.20	0
12:28	21.2	16.8	464.96	69	6	7347.20	0
12:33	21.2	16.8	464.96	69	5	5122.56	0
12:38	21.2	16.8	474.88	69	8	3584.00	0
12:43	21.1	16.8	483.84	69	8	3584.00	0
12:48	21.2	16.8	475.84	69	6	2272.00	0
12:53	21.2	16.8	483.84	69	4	2272.00	0
12:58	21.2	16.8	486.72	69	3	2967.04	0
13:03	21.2	16.8	489.92	69	6	2967.04	0
13:08	21.2	16.8	478.72	69	3	2967.04	0
13:13	21.2	16.8	483.84	69	5	3863.04	0
13:18	21.2	16.8	490.88	69	5	3863.04	0
13:23	21.1	16.8	485.76	69	7	5022.72	0
13:28	21.2	16.8	482.88	69	3	5022.72	0
13:33	21.2	16.8	489.92	69	4	5022.72	0
13:38	21.2	16.8	493.76	69	3	5022.72	0
13:43	21.2	16.8	498.88	69	6	5022.72	0
13:48	21.2	16.8	498.88	69	4	6528.00	0
13:53	21.2	16.8	488.00	69	7	6528.00	0
13:58	21.2	16.8	497.92	69	9	6528.00	0
14:03	21.2	16.8	492.80	69	5	6528.00	0
14:08	21.1	16.8	492.80	69	6	6528.00	0
14:13	21.1	16.8	494.72	69	6	4559.36	0
14:18	21.1	16.8	482.88	69	5	5939.20	0
14:23	21.1	16.8	489.92	69	9	7726.08	0
14:28	21.1	16.8	502.72	69	4	7726.08	0
14:33	21.2	16.8	492.80	69	4	7726.08	0
14:38	21.2	16.8	504.00	69	4	5381.12	0
14:43	21.2	16.8	494.72	69	3	5381.12	0
14:48	21.2	16.8	501.76	69	3	7034.88	0
14:53	21.2	16.8	499.84	69	3	15585.28	0
14:58	21.2	16.8	504.00	69	2	20387.84	0
15:03	21.2	16.8	502.72	69	9	6917.12	0
15:08	21.2	16.8	504.96	69	7	6917.12	0
15:13	21.2	16.8	504.00	69	5	4820.48	0
15:18	21.2	16.8	501.76	69	7	3371.52	0
15:23	21.2	16.8	501.76	69	2	3371.52	0
15:28	21.2	16.8	499.84	69	3	3371.52	0
15:33	21.2	16.8	493.76	69	4	3371.52	0
15:38	21.2	16.8	500.80	69	3	2348.80	0
15:43	21.2	16.8	502.72	69	3	3993.60	0
15:48	21.2	16.8	505.92	69	3	5201.92	0
15:53	21.2	16.8	498.88	69	5	3640.32	0
15:58	21.2	16.8	504.00	69	4	2539.52	0
16:03	21.2	16.8	506.88	69	2	1770.24	0
16:08	21.2	16.8	497.92	69	3	1770.24	0
16:13	21.2	16.8	499.84	69	6	1770.24	0
16:18	21.2	16.8	504.96	69	3	2316.80	0
16:23	21.2	16.8	504.96	69	0	2316.80	0
16:28	21.2	16.8	506.88	69	2	2316.80	0
16:33	21.2	16.8	506.88	69	3	3015.68	0
16:38	21.2	15.8	506.88	69	4	3015.68	0
16:43	21.2	15.8	506.88	69	2	2106.88	0
16:48	21.2	15.8	517.76	69	4	2106.88	0
16:53	21.2	15.8	514.88	69	2	2106.88	0
16:58	21.2	15.8	504.00	69	4	2106.88	0
17:03	21.2	15.8	504.96	69	4	2106.88	0
17:08	21.1	15.8	506.88	69	3	2106.88	0
17:13	21.1	15.8	509.76	69	2	1472.00	0
17:18	21.1	15.8	504.96	69	2	717.44	0
17:23	21.1	15.8	499.84	69	3	717.44	0
17:28	21.2	15.8	504.00	69	4	932.48	0
17:33	21.2	15.8	509.76	69	4	932.48	0
17:38	21.2	15.8	512.96	69	1	932.48	0
17:43	21.2	15.8	504.96	69	4	454.72	0
17:48	21.2	15.8	496.96	69	3	317.92	0
17:53	21.2	15.8	499.84	69	3	154.96	0
17:58	21.1	15.8	497.92	69	3	154.96	0
18:03	21.1	15.8	492.80	69	4	75.00	0
18:08	21.1	15.8	500.80	69	1	36.00	0
18:13	21.2	15.8	496.96	69	2	17.00	0
18:18	21.2	15.8	505.92	69	0	7.00	0
18:23	21.2	15.8	512.00	69	1	2.00	0
18:28	21.2	15.8	509.76	69	0	1.00	0
18:33	21.2	15.8	507.84	69	0	1.00	0
18:38	21.2	15.8	506.88	69	0	1.00	0
18:43	21.1	15.8	499.84	69	2	1.00	0
18:48	21.2	15.8	499.84	69	0	1.00	0
18:53	21.1	15.8	504.00	69	0	1.00	0
18:58	21.1	15.8	508.80	69	0	1.00	0
19:03	21.2	15.8	517.76	69	0	1.00	0
19:08	21.2	15.8	516.80	69	0	1.00	0
19:13	21.2	15.8	514.88	69	0	1.00	0
19:18	21.2	15.8	521.92	69	0	1.00	0
19:23	21.2	15.8	507.84	69	0	1.00	0
19:28	21.2	15.8	514.88	69	0	1.00	0
19:33	21.1	15.8	505.92	69	0	1.00	0
19:38	21.1	15.8	507.84	69	0	1.00	0
19:43	21.1	15.8	505.92	69	1	1.00	0
19:48	21.1	15.8	505.92	69	0	1.00	0
19:53	21.1	15.8	499.84	69	0	1.00	0
19:58	21.1	15.8	512.00	69	1	1.00	0
20:03	21.2	15.8	507.84	69	0	1.00	0
20:08	21.1	15.8	505.92	69	3	1.00	0
20:13	21.2	15.8	505.92	69	4	1.00	0
20:18	21.1	15.8	516.80	69	3	1.00	0
20:23	21.1	15.8	498.88	69	2	1.00	0
20:28	21.1	15.8	506.88	69	3	1.00	0
20:33	21.1	15.8	509.76	69	4	1.00	0
20:38	21.1	15.8	500.80	69	5	1.00	0
20:43	21.1	15.8	507.84	69	3	1.00	0
20:48	21.1	15.8	512.00	69	2	1.00	0
