HORA	TEMPERATURA INT.	TEMPERATURA EXT.	CO2	HUMEDAD INT.	VEL. VIENTO	LUMINOSIDAD EXT.	LLUVIA
00:00	23.4	20.1	448.00	61	0	1.00	0
00:30	23.3	19.1	448.96	61	0	1.00	0
01:00	23.3	19.1	457.92	61	0	1.00	0
01:30	23.3	19.1	454.72	62	0	1.00	0
02:00	23.3	19.1	451.84	62	0	1.00	0
02:30	23.3	19.1	452.80	62	0	1.00	0
03:00	23.3	19.1	456.96	62	0	1.00	0
03:30	23.3	19.1	448.96	62	0	1.00	0
04:00	23.3	19.1	458.88	62	0	1.00	0
04:30	23.3	19.1	464.00	62	0	1.00	0
05:00	23.3	18.1	451.84	62	0	1.00	0
05:30	23.3	18.1	452.80	62	0	1.00	0
06:00	23.3	18.1	456.96	62	0	1.00	0
06:30	23.2	18.1	452.80	62	0	4.00	0
07:00	23.3	18.1	452.80	62	0	379.84	0
07:30	23.2	18.1	456.00	62	0	1832.96	0
08:00	23.2	18.1	472.00	62	0	4026.88	0
08:30	23.2	19.1	456.00	62	0	8847.36	0
09:00	23.2	22.1	456.00	62	0	15022.08	0
09:30	23.2	23.1	446.72	62	0	25374.72	0
10:00	23.2	23.1	457.92	62	0	25374.72	0
10:30	23.2	23.1	464.00	62	0	43008.00	0
11:00	23.2	23.1	464.00	62	0	62054.40	0
11:30	23.3	22.1	457.92	62	3	36208.64	0
12:00	23.3	22.1	459.84	62	2	49479.68	0
12:30	23.3	23.1	454.72	62	3	76226.56	0
13:00	23.3	24.1	453.76	62	4	68853.76	0
13:30	23.3	24.1	456.00	62	4	55336.96	0
14:00	23.3	23.1	459.84	63	2	37457.92	0
14:30	23.4	24.1	458.88	63	3	80855.04	0
15:00	23.4	24.1	450.88	63	3	80855.04	0
15:30	23.5	24.1	452.80	63	3	56401.92	0
16:00	23.4	24.1	445.76	63	4	51240.96	0
16:30	23.5	23.1	451.84	63	5	51240.96	0
17:00	23.5	23.1	458.88	63	3	51240.96	0
17:30	23.5	23.1	443.84	63	6	35840.00	0
18:00	23.5	23.1	448.96	63	3	12247.04	0
18:30	23.5	22.1	443.84	63	6	8570.88	0
19:00	23.5	22.1	442.88	63	2	5995.52	0
19:30	23.5	22.1	454.72	63	4	5995.52	0
20:00	23.5	21.1	441.92	63	3	5995.52	0
20:30	23.5	21.1	438.72	63	3	2051.84	0
21:00	23.5	21.1	442.88	63	5	1003.52	0
